dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,25.959886000026017,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
UNSW-NB15,0.5,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,6.073157300008461,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
UNSW-NB15,0.55,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,6.152535900007933,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
UNSW-NB15,0.6,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,6.162895099958405,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
UNSW-NB15,0.65,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,5.901681900024414,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
UNSW-NB15,0.7,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,5.879153000016231,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
UNSW-NB15,0.75,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,5.947772599989548,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
UNSW-NB15,0.8,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,6.283936899970286,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
UNSW-NB15,0.9,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,5.889633400016464,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
TON_IoT,0.4,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,6.660609600017779,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
